"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@KarenGravanoVH1 Will you be making any appearances on #MadeinStatenIsland???",FALSE,0,"KarenGravanoVH1",2019-01-18 23:25:15,FALSE,"1086271997498351616","1086404179323691013","283599884","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jose_Skullz",0,FALSE,FALSE,NA,NA
"2","Paulie reminds me of a mini ronnie,lol #MadeinStatenIsland",FALSE,1,NA,2019-01-18 22:01:41,FALSE,NA,"1086383150190727169",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Pom_Pom_108",0,FALSE,FALSE,NA,NA
"3","How old are these juvenile delinquents? #MadeinStatenIsland",FALSE,0,NA,2019-01-18 21:51:54,FALSE,NA,"1086380685311524866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElleBelleK",0,FALSE,FALSE,NA,NA
"4","As someone who was actually born and raised in Staten Island, I can attest to the fact that #MadeInStatenIsland is… https://t.co/quYtAsdsai",FALSE,1,NA,2019-01-18 18:55:17,TRUE,NA,"1086336241895907328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlyssaBrianna22",0,FALSE,FALSE,NA,NA
"5","IF YOU HAVENT SEEN THE FIRST EPISODE OF #MadeInStatenIsland CLICK THE LINK ON MY PINNED TWEET TO WATCH IT 😉",FALSE,1,NA,2019-01-18 17:27:27,FALSE,NA,"1086314136693288960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MobWivesUK",1,FALSE,FALSE,NA,NA
"6","Karina and Paulie are the next Ron and Sammie #madeinstatenisland",FALSE,1,NA,2019-01-18 16:40:36,FALSE,NA,"1086302345556885505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Srb051216",0,FALSE,FALSE,NA,NA
"7","Kids suffer the sins of their parents #MadeInStatenIsland",FALSE,0,NA,2019-01-18 16:17:04,FALSE,NA,"1086296423434514432",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","uractuality",0,FALSE,FALSE,NA,NA
"8","I really wanted to like this show but it’s soooo fake I can’t get over it. #MadeInStatenIsland",FALSE,0,NA,2019-01-18 16:08:33,FALSE,NA,"1086294279583092736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","krissbennz",0,FALSE,FALSE,NA,NA
"9","A #MadeInStatenIsland story worth following... Positivity and Creativity 🙏 https://t.co/kTqyMHBwBD",FALSE,0,NA,2019-01-18 15:49:51,FALSE,NA,"1086289573670539264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justysmusic",0,FALSE,FALSE,NA,NA
"10","THIS is the type of energy and attention I'd like to draw to my borough... ""TRY"" available everywhere now… https://t.co/jbo23VfdRX",FALSE,1,NA,2019-01-18 15:44:51,TRUE,NA,"1086288315341516802",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justysmusic",0,FALSE,FALSE,NA,NA
