"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","There’s something about #MadeInStatenIsland that shows how growing up Italian relies on respect loyalty and family! Love it!",FALSE,0,NA,2019-01-21 23:50:11,FALSE,NA,"1087497619394494465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ADoll708",0,FALSE,FALSE,NA,NA
"2","I honestly don’t know how I feel about #MadeInStatenIsland show.",FALSE,0,NA,2019-01-21 22:50:59,FALSE,NA,"1087482721075712000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DomNTheCity",0,FALSE,FALSE,NA,NA
"3","#madeinstatenisland Tonight 10pm  #MTV you are definitely not going to want to miss this!!!! We have A couple of su… https://t.co/YvCK4M6C68",FALSE,61,NA,2019-01-21 22:39:34,TRUE,NA,"1087479845163057155",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","KarenGravanoVH1",5,FALSE,FALSE,NA,NA
"4","@KarenGravanoVH1 and @Karina_Smirnoff I LOVE #MadeInStatenIsland so much!! Thank you for being so real and honest, it’s refreshing!",FALSE,0,"KarenGravanoVH1",2019-01-21 21:21:35,FALSE,NA,"1087460223122587650","283599884","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asia_moffatt",0,FALSE,FALSE,NA,NA
"5","TONIGHT on #MadeInStatenIsland:

CP receives news that threatens to divide the group; Paulie brings notorious SI tw… https://t.co/cFC6bITD3t",FALSE,0,NA,2019-01-21 21:00:00,TRUE,NA,"1087454791519809538",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sectv",0,FALSE,FALSE,NA,NA
"6","My new show
#MadeinStatenIsland https://t.co/iOz3S5zZOu",FALSE,1,NA,2019-01-21 20:56:28,FALSE,NA,"1087453899118837762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lambertkasey201",0,FALSE,FALSE,NA,NA
"7","Friends can become foes quicker than you would ever imagine! 😔 Don't miss a new episode of #MadeInStatenIsland TONI… https://t.co/QfxgJjL4jS",FALSE,85,NA,2019-01-21 20:30:00,TRUE,NA,"1087447239914672128",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","statenislandmtv",27,FALSE,FALSE,NA,NA
"8","Monday TV
""You Should Watch""

#LHHNY 

#CartelCrew

#PumpRules 

#TeenMom2

#MadeInStatenIsland https://t.co/sB3DSIkwV3",FALSE,0,NA,2019-01-21 20:07:52,FALSE,NA,"1087441672122687488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thKuShutMeDown",1,FALSE,FALSE,NA,NA
"9","New Episode tonight! MTV 10pm @dennieaugustine #MadeinStatenIsland @MTV https://t.co/ygF7UuLumI",FALSE,3,NA,2019-01-21 19:45:33,FALSE,NA,"1087436054481780736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cynthia49600124",1,FALSE,FALSE,NA,NA
"10","#CartelCrew
Hispaanic

#MadeInStatenIsland
Italian 

Similar drug rings #samesongdifferentethnicity https://t.co/KVCvFzBBlK",FALSE,0,NA,2019-01-21 18:37:41,FALSE,NA,"1087418973396787200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thKuShutMeDown",0,FALSE,FALSE,NA,NA
"11","#MadeinStatenIsland  is not even real Staten Island, fake as hell. Like I was in the ferry terminal and they were p… https://t.co/efQAfkb2AM",FALSE,3,NA,2019-01-21 18:36:46,TRUE,NA,"1087418743624470529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therealamor__",0,FALSE,FALSE,NA,NA
"12","My new show!! Wicked good
#MadeinStatenIsland https://t.co/CvFrGOFKpH",FALSE,0,NA,2019-01-21 18:14:41,FALSE,NA,"1087413184590430219",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lambertkasey201",0,FALSE,FALSE,NA,NA
